distance_bucket,transport_mode,n,price_mean,duration_mean
0-200,carpooling,4806,12.582084893882646,2.0588847274240534
0-200,bus,859,22.00379511059371,9.52826930539387
0-200,train,1964,33.078105906313645,4.415478615071283
201-800,carpooling,15695,33.24963364128703,4.916523308909419
201-800,bus,6191,34.96757712808916,14.542960211059063
201-800,train,9267,85.98765512031942,8.038709039243193
801-2000,bus,660,69.88295454545455,24.85164141414141
801-2000,carpooling,103,85.02912621359224,12.941747572815533
801-2000,train,191,127.31151832460733,12.442233856893543
2000+,bus,0,,
2000+,carpooling,0,,
2000+,train,0,,
