id,company,o_station,d_station,departure_ts,arrival_ts,price_in_cents,search_ts,middle_stations,other_companies,o_city,d_city,price_eur,provider_external_id,provider_name,provider_fullname,transport_mode,has_wifi,has_plug,origin_city_id,origin_city_name,origin_lat,origin_lon,origin_population,dest_city_id,dest_city_name,dest_lat,dest_lon,dest_population,origin_station_id,origin_station_name,origin_station_lat,origin_station_lon,dest_station_id,dest_station_name,dest_station_lat,dest_station_lon,duration_hours,advance_hours,distance_km,distance_bucket,departure_hour,departure_dow
6795025,8385,,,2017-10-13 14:00:00+00:00,2017-10-13 20:10:00+00:00,4550,2017-10-01 00:13:31.327000+00:00,,,611,542,45.5,,bbc,Blablacar,carpooling,False,False,611,"Orléans, Centre-Val de Loire, France",47.907018,1.90627,114977.0,542,"Montpellier, Occitanie, France",43.604452,3.918318,275318.0,,,,,,,,,6.166666666666667,301.77463138888885,503.1978620592439,201-800,14,Friday
6795026,9,63.0,1044.0,2017-10-13 13:05:00+00:00,2017-10-14 06:55:00+00:00,1450,2017-10-01 00:13:35.773000+00:00,"{149,418}",{13},611,542,14.5,,ouibus,Ouibus,bus,True,True,611,"Orléans, Centre-Val de Loire, France",47.907018,1.90627,114977.0,542,"Montpellier, Occitanie, France",43.604452,3.918318,275318.0,63.0,Avenue Georges Pompidou,47.896911,1.854277,1044.0,Station Les Sabines,43.583932,3.860233,17.833333333333332,300.8567297222222,503.1978620592439,201-800,13,Friday
6795027,8377,5905.0,6495.0,2017-10-13 13:27:00+00:00,2017-10-14 21:24:00+00:00,7400,2017-10-01 00:13:40.212000+00:00,"{798,798,6794,6246}","{8377,8376}",611,542,74.0,2,corailintercite,Intercités,train,False,False,611,"Orléans, Centre-Val de Loire, France",47.907018,1.90627,114977.0,542,"Montpellier, Occitanie, France",43.604452,3.918318,275318.0,5905.0,Les Aubrais,47.92674,1.90674,6495.0,Montpellier,43.6049,3.8805,31.95,301.2221633333333,503.1978620592439,201-800,13,Friday
6795028,8377,5905.0,6495.0,2017-10-13 13:27:00+00:00,2017-10-14 11:02:00+00:00,13500,2017-10-01 00:13:40.213000+00:00,"{798,798,6794,6246}","{8377,8376}",611,542,135.0,2,corailintercite,Intercités,train,False,False,611,"Orléans, Centre-Val de Loire, France",47.907018,1.90627,114977.0,542,"Montpellier, Occitanie, France",43.604452,3.918318,275318.0,5905.0,Les Aubrais,47.92674,1.90674,6495.0,Montpellier,43.6049,3.8805,21.583333333333332,301.22216305555554,503.1978620592439,201-800,13,Friday
6795029,8381,5905.0,6495.0,2017-10-13 21:46:00+00:00,2017-10-14 19:32:00+00:00,7710,2017-10-01 00:13:40.213000+00:00,"{5983,5983}",{8380},611,542,77.1,6,coraillunea,Intercités de Nuit,train,False,False,611,"Orléans, Centre-Val de Loire, France",47.907018,1.90627,114977.0,542,"Montpellier, Occitanie, France",43.604452,3.918318,275318.0,5905.0,Les Aubrais,47.92674,1.90674,6495.0,Montpellier,43.6049,3.8805,21.766666666666666,309.5388297222222,503.1978620592439,201-800,21,Friday
6795030,8385,,,2017-10-06 05:30:00+00:00,2017-10-06 08:30:00+00:00,1800,2017-10-01 01:03:18.948000+00:00,,,628,453,18.0,,bbc,Blablacar,carpooling,False,False,628,"Paris, Île-de-France, France",48.8477019,2.3523109,,453,"Lille, Hauts-de-France, France",50.638756,3.076675,233897.0,,,,,,,,,3.0,124.44473666666667,205.84287484149192,201-800,5,Friday
6795031,8385,,,2017-10-06 07:00:42+00:00,2017-10-06 09:30:42+00:00,2150,2017-10-01 01:03:18.948000+00:00,,,628,453,21.5,,bbc,Blablacar,carpooling,False,False,628,"Paris, Île-de-France, France",48.8477019,2.3523109,,453,"Lille, Hauts-de-France, France",50.638756,3.076675,233897.0,,,,,,,,,2.5,125.95640333333334,205.84287484149192,201-800,7,Friday
6795032,8385,,,2017-10-06 07:10:00+00:00,2017-10-06 09:40:00+00:00,1700,2017-10-01 01:03:18.948000+00:00,,,628,453,17.0,,bbc,Blablacar,carpooling,False,False,628,"Paris, Île-de-France, France",48.8477019,2.3523109,,453,"Lille, Hauts-de-France, France",50.638756,3.076675,233897.0,,,,,,,,,2.5,126.11140333333334,205.84287484149192,201-800,7,Friday
6795033,8385,,,2017-10-06 10:00:00+00:00,2017-10-06 12:50:00+00:00,1700,2017-10-01 01:03:18.948000+00:00,,,628,453,17.0,,bbc,Blablacar,carpooling,False,False,628,"Paris, Île-de-France, France",48.8477019,2.3523109,,453,"Lille, Hauts-de-France, France",50.638756,3.076675,233897.0,,,,,,,,,2.8333333333333335,128.94473666666667,205.84287484149192,201-800,10,Friday
6795034,8385,,,2017-10-06 10:00:00+00:00,2017-10-06 12:50:00+00:00,1900,2017-10-01 01:03:18.948000+00:00,,,628,453,19.0,,bbc,Blablacar,carpooling,False,False,628,"Paris, Île-de-France, France",48.8477019,2.3523109,,453,"Lille, Hauts-de-France, France",50.638756,3.076675,233897.0,,,,,,,,,2.8333333333333335,128.94473666666667,205.84287484149192,201-800,10,Friday
